timestamp,sku,stage,elapsed_seconds,details
2026-08-19 01:32:53.979,PP2R00005A,REGISTER_PRODUCT START,,
2026-08-19 01:32:53.986,PP2R00005A,REGISTER_PRODUCT fill_form START,,
2026-08-19 01:33:22.032,PP2R00005A,REGISTER_PRODUCT fill_form ERROR,28.045,TimeoutException: Message:  Stacktrace: 	chromedriver!GetHandleVerifier [0x7ff63a98abb5+151b5] 	chromedriver!GetHandleVerifier [0x7ff63a98ac10+15210] 	chromedriver!(No symbol) [0x7ff63a4b5d6d] 	chromedriver!(No symbol) [0x7ff63a511289] 	chromedriver!(No symbol) [0x7ff63a51158c] 	chromedriver!(No symbol) [0x7ff63a562027] 	chromedriver!(No symbol) [0x7ff63a55ec0b] 	chromedriver!(No symbol) [0x7ff63a5037cc] 	chromedriver!(No symbol) [0x7ff63a5046f3] 	chromedriver!GetHandleVerifier [0x7ff63afab79b+635d9b] 	chromedriver!GetHandleVerifier [0x7ff63afa5ac6+6300c6] 	chromedriver!GetHandleVerifier [0x7ff63afcbcee+6562ee] 	chromedriver!GetHandleVerifier [0x7ff63a9a8ffe+335fe] 	chromedriver!GetHandleVerifier [0x7ff63a9b147c+3ba7c] 	chromedriver!GetHandleVerifier [0x7ff63a994d64+1f364] 	chromedriver!GetHandleVerifier [0x7ff63a994ef4+1f4f4] 	chromedriver!GetHandleVerifier [0x7ff63a977d97+2397] 	KERNEL32!BaseThreadInitThunk [0x7ff9dc1a84d4+14] 	ntdll!RtlUserThreadStart [0x7ff9de781d21+21] 
2026-08-19 01:33:24.559,PP2R00005B,REGISTER_PRODUCT START,,
2026-08-19 01:33:24.559,PP2R00005B,REGISTER_PRODUCT fill_form START,,
2026-08-19 01:33:51.349,PP2R00005B,REGISTER_PRODUCT fill_form ERROR,26.788,TimeoutException: Message:  Stacktrace: 	chromedriver!GetHandleVerifier [0x7ff63a98abb5+151b5] 	chromedriver!GetHandleVerifier [0x7ff63a98ac10+15210] 	chromedriver!(No symbol) [0x7ff63a4b5d6d] 	chromedriver!(No symbol) [0x7ff63a511289] 	chromedriver!(No symbol) [0x7ff63a51158c] 	chromedriver!(No symbol) [0x7ff63a562027] 	chromedriver!(No symbol) [0x7ff63a55ec0b] 	chromedriver!(No symbol) [0x7ff63a5037cc] 	chromedriver!(No symbol) [0x7ff63a5046f3] 	chromedriver!GetHandleVerifier [0x7ff63afab79b+635d9b] 	chromedriver!GetHandleVerifier [0x7ff63afa5ac6+6300c6] 	chromedriver!GetHandleVerifier [0x7ff63afcbcee+6562ee] 	chromedriver!GetHandleVerifier [0x7ff63a9a8ffe+335fe] 	chromedriver!GetHandleVerifier [0x7ff63a9b147c+3ba7c] 	chromedriver!GetHandleVerifier [0x7ff63a994d64+1f364] 	chromedriver!GetHandleVerifier [0x7ff63a994ef4+1f4f4] 	chromedriver!GetHandleVerifier [0x7ff63a977d97+2397] 	KERNEL32!BaseThreadInitThunk [0x7ff9dc1a84d4+14] 	ntdll!RtlUserThreadStart [0x7ff9de781d21+21] 
2026-08-19 01:33:53.683,PPUO00007A,REGISTER_PRODUCT START,,
2026-08-19 01:33:53.684,PPUO00007A,REGISTER_PRODUCT fill_form START,,
2026-08-19 01:34:09.910,PPUO00007A,REGISTER_PRODUCT fill_form ERROR,16.225,TimeoutException: Message:  Stacktrace: 	chromedriver!GetHandleVerifier [0x7ff63a98abb5+151b5] 	chromedriver!GetHandleVerifier [0x7ff63a98ac10+15210] 	chromedriver!(No symbol) [0x7ff63a4b5d6d] 	chromedriver!(No symbol) [0x7ff63a511289] 	chromedriver!(No symbol) [0x7ff63a51158c] 	chromedriver!(No symbol) [0x7ff63a562027] 	chromedriver!(No symbol) [0x7ff63a55ec0b] 	chromedriver!(No symbol) [0x7ff63a5037cc] 	chromedriver!(No symbol) [0x7ff63a5046f3] 	chromedriver!GetHandleVerifier [0x7ff63afab79b+635d9b] 	chromedriver!GetHandleVerifier [0x7ff63afa5ac6+6300c6] 	chromedriver!GetHandleVerifier [0x7ff63afcbcee+6562ee] 	chromedriver!GetHandleVerifier [0x7ff63a9a8ffe+335fe] 	chromedriver!GetHandleVerifier [0x7ff63a9b147c+3ba7c] 	chromedriver!GetHandleVerifier [0x7ff63a994d64+1f364] 	chromedriver!GetHandleVerifier [0x7ff63a994ef4+1f4f4] 	chromedriver!GetHandleVerifier [0x7ff63a977d97+2397] 	KERNEL32!BaseThreadInitThunk [0x7ff9dc1a84d4+14] 	ntdll!RtlUserThreadStart [0x7ff9de781d21+21] 
2026-08-19 01:34:11.911,PP2Q00001A,REGISTER_PRODUCT START,,
2026-08-19 01:34:11.912,PP2Q00001A,REGISTER_PRODUCT fill_form START,,
